model,group,subset,threshold,selected_rate,precision,recall,fpr,f1,selected_final_gain_mean,selected_final_better_rate,selected_count
hierarchical_conservative,overall,all,0.17,1.1009326826454201e-06,0.5625,2.3570303931212427e-06,6.533039259459467e-07,4.714041033108282e-06,0.033560048788785934,0.5625,16.0
hierarchical_conservative,overall,all,0.17250000000000001,5.504663413227101e-07,0.5,1.047569063609441e-06,3.7331652911196957e-07,2.095133737624307e-06,-0.03500020503997803,0.5,8.0
hierarchical_conservative,overall,all,0.17500000000000002,4.816580486573713e-07,0.5714285714285714,1.047569063609441e-06,2.799873968339772e-07,2.0951342863226227e-06,-0.006282874516078404,0.5714285714285714,7.0
hierarchical_conservative,overall,all,0.1775,6.880829266533876e-08,1.0,2.618922659023603e-07,0.0,5.237843946296387e-07,0.16766571998596191,1.0,1.0
hierarchical_conservative,overall,all,0.18,6.880829266533876e-08,1.0,2.618922659023603e-07,0.0,5.237843946296387e-07,0.16766571998596191,1.0,1.0
hierarchical_conservative,overall,all,0.1825,6.880829266533876e-08,1.0,2.618922659023603e-07,0.0,5.237843946296387e-07,0.16766571998596191,1.0,1.0
hierarchical_conservative,overall,affected,0.0,1.0,0.29206705441739783,1.0,1.0,0.4520927198303852,0.0005942040336543326,0.5082359324008872,4641126.0
hierarchical_conservative,overall,affected,0.0025,0.9915156365071752,0.2943313509711199,0.9992025200661001,0.9883443115212232,0.45471809313965844,0.0005992722154630001,0.5082823943678806,4601749.0
hierarchical_conservative,overall,affected,0.005,0.9764888951517369,0.29801536096141046,0.996376298394712,0.9682840851885467,0.4588030833993485,0.0006083759799936547,0.5081833483082996,4532008.0
hierarchical_conservative,overall,affected,0.0075,0.9585647965601451,0.3022183410432429,0.9918813444287063,0.9448196162290914,0.4632792014251405,0.0006215686328418323,0.5080126865101308,4448820.0
hierarchical_conservative,overall,affected,0.01,0.9365328586209467,0.30719807148952266,0.9850514931539188,0.91651585734869,0.4683397499897844,0.0006415322215187669,0.5078736851404798,4346567.0
hierarchical_conservative,overall,affected,0.0125,0.9112887691478317,0.3128264347286593,0.9760608474976393,0.8845661957033193,0.4738003690648721,0.0006797903402771962,0.5078959078414321,4229406.0
hierarchical_conservative,overall,affected,0.015,0.884128980768891,0.3186086308907299,0.9644741501416431,0.8509815236519535,0.47898669212735084,0.000745381391014585,0.5080285542022452,4103354.0
hierarchical_conservative,overall,affected,0.0175,0.8561734803149064,0.32419042739232773,0.9503408286118981,0.8173235013571317,0.48345836627336286,0.0007965845827311118,0.5082694346625448,3973609.0
hierarchical_conservative,overall,affected,0.02,0.8268206896343689,0.32960752638715124,0.933095048394712,0.7829758041591109,0.4871379166049638,0.0008362581314916554,0.5085392920532478,3837379.0
hierarchical_conservative,overall,affected,0.0225,0.7956000332677889,0.33493695294219605,0.9123790132200189,0.7474213280594204,0.4899952456418384,0.0008730308485904605,0.5088509619551088,3692480.0
hierarchical_conservative,overall,affected,0.025,0.762891160464077,0.3402976382462774,0.888871429414542,0.7109163423733704,0.49217126608953815,0.0009140708082210296,0.5091553190155321,3540674.0
hierarchical_conservative,overall,affected,0.0275,0.7288207646161728,0.34561302733530247,0.8624387688857412,0.673694898292735,0.4934723407362789,0.0009641200021390767,0.5096422845611401,3382549.0
