label,group,group_label,target,samples,mean_delta,median_delta,std_delta,se_delta,ci95_low,ci95_high,improve_rate,worse_rate,p_normal_approx,source_sample_mae,adapter_sample_mae
seed23,severity_low,severity <= 1.557,all,9167,-0.00022094261364080114,-5.504488945007324e-05,0.0019104654488717216,1.9953798034406553e-05,-0.000260052057788238,-0.00018183316949336428,0.5308170611977746,0.4691829388022254,1.7017567103418866e-28,0.5838766447359354,0.5836557021222946
seed7,severity_low,severity <= 1.557,affected,7882,-0.00018529725430944008,-4.906952381134033e-05,0.003709145981079822,4.17787758772155e-05,-0.00026718365502878246,-0.0001034108535900977,0.5282923115960416,0.4714539456990611,9.19865677433796e-06,0.8447247267561542,0.8445394295018447
seed11,severity_low,severity <= 1.557,affected,7882,-0.0006027411711084392,-0.00018163025379180908,0.004048332114595585,4.559927297414801e-05,-0.0006921157461377693,-0.0005133665960791092,0.5672418167977671,0.4327581832022329,6.887562942387248e-40,0.843753114904177,0.8431503737330687
seed23,severity_low,severity <= 1.557,affected,7882,-0.00034283827995019826,-0.00011363625526428223,0.004560901866697293,5.137271432796145e-05,-0.0004435288000330027,-0.00024214775986739384,0.5348896219233698,0.4649835067241817,2.4969169789631793e-11,0.844228748208022,0.8438859099280718
seed7,severity_low,severity <= 1.557,unaffected,9125,-0.00015042688422007102,-2.950429916381836e-05,0.0018888244291863606,1.9773117836178923e-05,-0.0001891821951789817,-0.00011167157326116034,0.5285479452054794,0.47134246575342464,2.7913275026360164e-14,0.5199425638122102,0.5197921369279901
seed11,severity_low,severity <= 1.557,unaffected,9125,-0.0003051276837717997,-0.00013875961303710938,0.0016883476823486758,1.76744313318208e-05,-0.00033976956918216843,-0.00027048579836143094,0.5881643835616438,0.41183561643835614,8.813069912454391e-67,0.5205466632665429,0.5202415355827711
seed23,severity_low,severity <= 1.557,unaffected,9125,-0.00019784210275297295,-3.11732292175293e-05,0.0021371986020418112,2.237321751270092e-05,-0.00024169360907786675,-0.00015399059642807916,0.513972602739726,0.486027397260274,9.334120701031978e-19,0.519062518910186,0.518864676807433
seed7,severity_mid,1.557 < severity <= 2.578,all,9167,-0.00027595498452103877,-0.0001690983772277832,0.0021540100009772045,2.2497491670929947e-05,-0.0003200500681960615,-0.00023185990084601606,0.5604887095014727,0.43951129049852733,1.378423626337282e-34,0.682111618760577,0.681835663776056
seed11,severity_mid,1.557 < severity <= 2.578,all,9167,-0.0008783543481813258,-0.0004283785820007324,0.0026628626688054895,2.78121878195104e-05,-0.0009328662363075661,-0.0008238424600550855,0.6413221337405912,0.35867786625940873,6.599222068061094e-219,0.6813217234368333,0.680443369088652
seed23,severity_mid,1.557 < severity <= 2.578,all,9167,-0.0005001656924857689,-0.00020372867584228516,0.0025198054272691675,2.6318030829306306e-05,-0.0005517490329112093,-0.0004485823520603286,0.5740154903458056,0.4259845096541944,1.5600138583733783e-80,0.6804515295428825,0.6799513638503968
seed7,severity_mid,1.557 < severity <= 2.578,affected,9161,-0.0003414502109766605,-0.0002142786979675293,0.004552946227189027,4.756867773412085e-05,-0.00043468481933553736,-0.0002482156026177836,0.5489575373867481,0.4510424626132518,7.071418272354862e-13,1.0044201700633535,1.0040787198523768
seed11,severity_mid,1.557 < severity <= 2.578,affected,9161,-0.0009877427155085884,-0.0003657341003417969,0.006033034552579631,6.303247657015686e-05,-0.0011112863695860958,-0.0008641990614310809,0.5704617399847178,0.42953826001528217,2.4114210907501135e-55,1.0011873476718818,1.0001996049563733
seed23,severity_mid,1.557 < severity <= 2.578,affected,9161,-0.0005970738048233875,-0.0003350377082824707,0.0049535135775921535,5.1753761029932395e-05,-0.0006985111764420549,-0.00049563643320472,0.5640213950442091,0.4359786049557908,8.604820110121623e-31,1.0021500152904463,1.001552941485623
seed7,severity_mid,1.557 < severity <= 2.578,unaffected,9127,-0.00024912434301423885,-0.00010734796524047852,0.0024192379094507403,2.5322964957470376e-05,-0.0002987573543308808,-0.0001994913316975969,0.5502355648077134,0.44976443519228665,7.732137898634672e-23,0.5365637502119466,0.5363146258689323
seed11,severity_mid,1.557 < severity <= 2.578,unaffected,9127,-0.0007682738443435551,-0.00033545494079589844,0.0025401616092405105,2.6588713398473952e-05,-0.0008203877226045641,-0.0007161599660825462,0.6466527884299331,0.3533472115700668,1.3903472802868883e-183,0.5363355646526433,0.5355672908082998
