label,group,group_label,target,samples,mean_delta,median_delta,std_delta,se_delta,ci95_low,ci95_high,improve_rate,worse_rate,p_normal_approx,source_sample_mae,adapter_sample_mae
seed23,severity_low,severity <= 1.557,all,9167,-0.0002489580601222957,-0.0001437366008758545,0.0019190526975744354,2.004348729122424e-05,-0.00028824329521309516,-0.00020967282503149616,0.5511072324642741,0.448892767535726,2.0129571687252953e-35,0.5838753641134483,0.583626406053326
seed7,severity_low,severity <= 1.557,affected,7882,-0.00011543007754214794,-8.778274059295654e-05,0.000999774195734482,1.126117501561754e-05,-0.00013750198057275832,-9.335817451153755e-05,0.5570921086018777,0.4429078913981223,1.1801416529857267e-24,0.8447207054588826,0.8446052753813404
seed11,severity_low,severity <= 1.557,affected,7882,-0.00020970438744809475,-0.00015795230865478516,0.0010869430699681935,1.2243020669214383e-05,-0.00023370070795975494,-0.00018570806693643456,0.5869068764273028,0.4130931235726973,9.099456115165938e-66,0.8437642425017947,0.8435545381143466
seed23,severity_low,severity <= 1.557,affected,7882,-0.0004430404081808314,-0.00026991963386535645,0.004181736326938568,4.710190045685803e-05,-0.0005353601330762731,-0.00035072068328538964,0.5545546815529053,0.4454453184470947,5.153847021937296e-21,0.8442284329478865,0.8437853925397056
seed7,severity_low,severity <= 1.557,unaffected,9125,-8.924693563213087e-05,-5.27501106262207e-05,0.0006792878822932382,7.111110558358523e-06,-0.00010318471232651358,-7.530915893774817e-05,0.5544109589041096,0.4455890410958904,3.957503796281299e-36,0.5199433376058323,0.5198540906702003
seed11,severity_low,severity <= 1.557,unaffected,9125,-0.00020016874025945795,-0.00015163421630859375,0.0006267535015451292,6.561155525518062e-06,-0.00021302860508947335,-0.00018730887542944255,0.6531506849315069,0.3467397260273973,2.0315224569155817e-204,0.5205479297423607,0.5203477610021013
seed23,severity_low,severity <= 1.557,unaffected,9125,-0.00019679147780758062,-0.00010976195335388184,0.0021017333960058897,2.2001950767525075e-05,-0.00023991530131192978,-0.00015366765430323146,0.5336986301369863,0.4663013698630137,3.7440240623892006e-19,0.5190614319594755,0.518864640481668
seed7,severity_mid,1.557 < severity <= 2.578,all,9167,-0.00012334205272791494,-0.00010073184967041016,0.0005222967330321965,5.455112277015892e-06,-0.00013403407279086608,-0.00011265003266496379,0.5996509217846624,0.4001309043307516,3.427319336150366e-113,0.6821083550324054,0.6819850129796775
seed11,severity_mid,1.557 < severity <= 2.578,all,9167,-0.0002489463023144845,-0.00020575523376464844,0.000591663947709732,6.1796160322145575e-06,-0.00026105834973762503,-0.00023683425489134396,0.6872477364459474,0.31264317661175955,0.0,0.6813320760815618,0.6810831297792472
seed23,severity_mid,1.557 < severity <= 2.578,all,9167,-0.0004167178617486572,-0.0002536773681640625,0.0024281865510248778,2.53611202744478e-05,-0.00046642565748657486,-0.0003670100660107395,0.5745609250572706,0.42543907494272937,1.1405945438864292e-60,0.6804437535490141,0.6800270356872655
seed7,severity_mid,1.557 < severity <= 2.578,affected,9161,-0.00014105037825816246,-0.00012433528900146484,0.000964123549784193,1.007305602725644e-05,-0.00016079356807158508,-0.00012130718844473984,0.5742822835934942,0.42571771640650585,1.4997645978363907e-44,1.0044157265422906,1.0042746761640324
seed11,severity_mid,1.557 < severity <= 2.578,affected,9161,-0.00019765954398390587,-0.0001647472381591797,0.0011598352557067387,1.2117830246690262e-05,-0.0002214104912674188,-0.00017390859670039294,0.5800676782010697,0.41993232179893025,8.180914327476422e-60,1.001231182180772,1.0010335226367881
seed23,severity_mid,1.557 < severity <= 2.578,affected,9161,-0.0006121816580218268,-0.0004025101661682129,0.00428465599102924,4.476561107216832e-05,-0.0006999222557232767,-0.0005244410603203768,0.5622748608230542,0.4377251391769457,1.4268372572734707e-42,1.0021371441436717,1.00152496248565
seed7,severity_mid,1.557 < severity <= 2.578,unaffected,9127,-0.00011861142351891969,-8.159875869750977e-05,0.0006093388838578253,6.378152038242111e-06,-0.00013111260151387423,-0.00010611024552396514,0.581352032431248,0.4184288375150652,3.42863402313688e-77,0.5365631588818054,0.5364445474582864
seed11,severity_mid,1.557 < severity <= 2.578,unaffected,9127,-0.00026607997507310793,-0.00021210312843322754,0.0006374786002740971,6.672699775750154e-06,-0.00027915846663357824,-0.00025300148351263763,0.691026624301523,0.3088638106716336,0.0,0.5363343672103829,0.5360682872353097
seed23,severity_mid,1.557 < severity <= 2.578,unaffected,9127,-0.00027237281609798845,-0.0001563429832458496,0.0025966885422697454,2.7180399540072807e-05,-0.00032564639919653116,-0.00021909923299944574,0.5402651473649611,0.4597348526350389,1.2333984586333676e-23,0.5344631074381525,0.5341907346220546
seed7,severity_high,severity > 2.578,all,9165,-0.00010520955999887387,-9.40561294555664e-05,0.0005370107345242598,5.609404162356246e-06,-0.0001162039921570921,-9.421512784065563e-05,0.5855973813420622,0.4144026186579378,1.7318060027996929e-78,0.8609131455616553,0.8608079360016564
seed11,severity_high,severity > 2.578,all,9165,-0.00017464364478969209,-0.0001557469367980957,0.0005971421806556264,6.237513737328905e-06,-0.00018686917171485673,-0.00016241811786452744,0.6337152209492635,0.36606655755591927,1.6747460968357836e-172,0.8594190243385688,0.8592443806937791
seed23,severity_high,severity > 2.578,all,9165,-0.00017755064753580797,-0.00011724233627319336,0.0030381147856664175,3.173495915222412e-05,-0.00023975116747416725,-0.00011535012759744869,0.5254773595199127,0.4745226404800873,2.2088032487888806e-08,0.8564797844219519,0.8563022337744162
seed7,severity_high,severity > 2.578,affected,9162,-0.00011632340205754029,-0.00012725591659545898,0.0009133907247463882,9.542484285355205e-06,-0.0001350266712568365,-9.762013285824408e-05,0.5749836280288146,0.42501637197118536,3.511870975439041e-34,1.422021063808673,1.4219047404066154
seed11,severity_high,severity > 2.578,affected,9162,-2.529494069179992e-05,-2.9981136322021484e-05,0.0011127948542987052,1.1625722839388314e-05,-4.808135745700101e-05,-2.5085239265988256e-06,0.5139707487448155,0.4860292512551845,0.029572194579340585,1.4195521728368832,1.4195268778961914
seed23,severity_high,severity > 2.578,affected,9162,-0.0002852302842383769,-0.00020739436149597168,0.005315631940463856,5.553410264012988e-05,-0.00039407712541303147,-0.00017638344306372233,0.5268500327439424,0.4731499672560576,2.80456012599292e-07,1.4126360892055727,1.4123508589213343
seed7,severity_high,severity > 2.578,unaffected,9141,-0.00010246389488750833,-7.677078247070312e-05,0.0006806983579061851,7.119636952194637e-06,-0.00011641838331380982,-8.850940646120684e-05,0.5609889508806476,0.43901104911935235,5.831839826951645e-47,0.5414585305012892,0.5413560666064017
seed11,severity_high,severity > 2.578,unaffected,9141,-0.0002837973505098806,-0.00023174285888671875,0.0006421553901420276,6.716504001521701e-06,-0.0002969616983528631,-0.00027063300266689806,0.6975166830762498,0.30237391970243954,0.0,0.5421483215348469,0.5418645241843371
seed23,severity_high,severity > 2.578,unaffected,9141,-0.00010852722522205916,-4.1604042053222656e-05,0.0035406644678696395,3.703291669206801e-05,-0.00018111174193851244,-3.594270850560586e-05,0.5084782846515699,0.49152171534843014,0.0033835044390734645,0.5408317362079669,0.5407232089827448
seed7,recovery_short_lt30,recovery < 30 min,all,12563,-0.00010865670156253045,-8.159875869750977e-05,0.0005802115468878016,5.176541351743329e-06,-0.00011880272261194738,-9.851068051311353e-05,0.5852901377059619,0.41470986229403806,8.058520244411426e-98,0.6196506762264626,0.6195420195249002
