threshold,floor,temperature,group,label,source_all_mae,adapter_all_mae,all_delta,source_affected_mae,adapter_affected_mae,affected_delta,source_unaffected_mae,adapter_unaffected_mae,unaffected_delta
0.0,0.25,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364221712001924,-0.0006760062742835471,1.2894421377452492,1.2895170470167905,7.490927154130134e-05,0.5373077252176639,0.5361340505104978,-0.0011736747071661169
0.0,0.25,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063259476136321,-0.000538009652146898,0.9364992472874594,0.9358599913314878,-0.0006392559559715849,0.5056042168623659,0.5050973097307182,-0.0005069071316476936
0.0,0.25,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6694854418718604,-0.0013319837185897798,1.0286134657059498,1.026256092496999,-0.002357373208950797,0.5214138842779185,0.5205100666536115,-0.0009038176243069129
0.0,0.25,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7928109664948946,-0.0008215802384541337,1.1938029610874101,1.1935662620916219,-0.0002366989957882648,0.5407746472278139,0.5395834730789579,-0.0011911741488559446
0.0,0.25,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404371705199742,-0.0006560997109706923,1.2770558114403372,1.2772321120311962,0.00017630059085904648,0.5417594313546809,0.5405318221350845,-0.001227609219596304
0.0,0.5,0.25,overall,all test events,0.7092097441986353,0.7084217720584937,-0.0007879721401415907,1.1046952400734757,1.104096691897882,-0.0005985481755936828,0.5236560658487773,0.5227792254043315,-0.0008768404444458033
0.0,0.5,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.570305056201443,-0.0005325066545182056,0.8361752164416952,0.8352627358282736,-0.0009124806134216401,0.5049174934959788,0.5044793864732465,-0.0004381070227322814
0.0,0.5,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6615302081216653,-0.001106293532846081,0.9590187214722444,0.957569404516812,-0.0014493169554323782,0.5258342516781376,0.5248862830735679,-0.0009479686045696933
0.0,0.5,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364240044712365,-0.0006741730032393534,1.2894421377452492,1.2895261422701483,8.400452489909505e-05,0.5373077252176639,0.5361310619782792,-0.001176663239384701
0.0,0.5,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063180627774366,-0.0005458944883424133,0.9364992472874594,0.9358499397862212,-0.00064930750123815,0.5056042168623659,0.505090086670174,-0.0005141301921919306
0.0,0.5,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6694626724740944,-0.0013547531163558002,1.0286134657059498,1.0262173585523915,-0.0023961071535583134,0.5214138842779185,0.5204939793373322,-0.0009199049405862469
0.0,0.5,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7928095674707822,-0.00082297926256647,1.1938029610874101,1.1935693656214945,-0.00023359546591561475,0.5407746472278139,0.5395792329116548,-0.0011954143161591047
0.0,0.5,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404408545305898,-0.0006524157003551245,1.2770558114403372,1.2772433019024576,0.00018749046212040987,0.5417594313546809,0.5405303567003212,-0.0012290746543596187
0.3,0.1,0.25,overall,all test events,0.7092097441986353,0.7084928058693749,-0.0007169383292603415,1.1046952400734757,1.1041587912542667,-0.0005364488192090011,0.5236560658487773,0.5228544676630806,-0.0008015981856966947
0.3,0.1,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703596791581076,-0.0004778836978536205,0.8361752164416952,0.8353429823049301,-0.000832234136765142,0.5049174934959788,0.5045276604513504,-0.00038983304462836266
0.3,0.1,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6616425589844862,-0.000993942670025172,0.9590187214722444,0.9577172765278643,-0.0013014449443801146,0.5258342516781376,0.5249822541844026,-0.0008519974937349906
